Category,Service,Duration,Price
Permanent Make-up,Wenkbrauwen - Powder brows,2-3 uur,€ 395
Permanent Make-up,Wenkbrauwen - Microblading,2-3 uur,€ 395
Permanent Make-up,Wenkbrauwen - Combi brows,2-3 uur,€ 425
Permanent Make-up,Eyeliner - Bovenste lijn,2 uur,€ 295
Permanent Make-up,Eyeliner - Onderlijn,1.5 uur,€ 245
Permanent Make-up,Lippen - Full lip,2.5 uur,€ 445
Permanent Make-up,Correctie na 4-8 weken,1 uur,€ 95
Wimperextensions,Classic set,1.5-2 uur,€ 85
Wimperextensions,Volume set,2-2.5 uur,€ 110
Wimperextensions,Mega volume set,2.5-3 uur,€ 135
Wimperextensions,Refill 2-3 weken,1 uur,€ 50
Wimperextensions,Refill 3-4 weken,1.5 uur,€ 65
Wimperextensions,Verwijderen,30 min,€ 25
Wenkbrouwen & Wimpers,Wenkbrauwen verven,15 min,€ 15
Wenkbrouwen & Wimpers,Wenkbrauwen epileren,15 min,€ 12
Wenkbrouwen & Wimpers,Wimpers verven,15 min,€ 15
Wenkbrouwen & Wimpers,Wimpers liften & verven,45 min,€ 55
Wenkbrauwen & Wimpers,Brow lamination,45 min,€ 60
Nagels,Manicure,45 min,€ 35
Nagels,Gellak,1 uur,€ 40
Nagels,Gellak verwijderen,20 min,€ 10
Nagels,Acryl/Gel nagels nieuw,2 uur,€ 65
Nagels,Acryl/Gel nagels bijvullen,1.5 uur,€ 50
Nagels,Acryl/Gel nagels verwijderen,30 min,€ 25
Kobido Massage,Kobido gezichtsmassage,60 min,€ 85
Kobido Massage,Kobido gezichtsmassage - 5 sessies,5 x 60 min,€ 375
Kobido Massage,Kobido gezichtsmassage - 10 sessies,10 x 60 min,€ 700
